output_id,condition,judge_label,det_label,det_tier,candidate,truth
prm-b4172ae8c86b6f76|run2|control,control,1,0,mismatch,$x = 9$,9
prm-d018213d57c7afde|run4|control,control,0,1,string_match,\boxed{\dfrac{13}{18}},\frac{13}{18}
prm-55db6c6b79c6e553|placebo1|step5,placebo_delete,1,0,mismatch,$\binom{8}{4} \times \binom{6}{1} + \binom{8}{3} \times \binom{6}{2} + \binom{8},1940
prm-70a8ec8eb124a0b7|run3|deleted,target_delete,1,0,mismatch,55^ circ,55^\circ
prm-2595a51b9bc687a5|run1|control,control,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \\ \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-2595a51b9bc687a5|run1|deleted,target_delete,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \\ \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-2595a51b9bc687a5|run2|control,control,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \\ \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-2595a51b9bc687a5|run2|deleted,target_delete,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \\ \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-2595a51b9bc687a5|run3|control,control,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \\ \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-2595a51b9bc687a5|run3|deleted,target_delete,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \\ \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-2595a51b9bc687a5|run4|control,control,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \\ \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-2595a51b9bc687a5|run4|deleted,target_delete,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \\ \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-16428e60085cafa9|run1|control,control,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-16428e60085cafa9|run1|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-16428e60085cafa9|run2|control,control,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-16428e60085cafa9|run2|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-16428e60085cafa9|run3|control,control,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-16428e60085cafa9|run3|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-16428e60085cafa9|run4|control,control,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-16428e60085cafa9|run4|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-16428e60085cafa9|placebo3|step20,placebo_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-ac91d34d7871bcbc|run4|deleted,target_delete,1,0,mismatch,32483,"\$32,\!348"
prm-b16889ee222c85e0|run4|control,control,1,0,mismatch,"$\frac{1,000,000 \text{ lire} \times 0.005 \text{ dollars}}{4 \text{ lire}} = 12",1250
prm-b16889ee222c85e0|placebo1|step14,placebo_delete,0,1,string_match,\$1250,1250
prm-a304fbad5368565d|run2|control,control,1,0,mismatch,-4u + 14,14
prm-1368cc3f0e85c6c9|run1|control,control,1,0,mismatch,$\frac{16}{27}$ gallons,\frac{16}{27}
prm-b35e05ba41e78a12|placebo2|step19,placebo_delete,1,0,mismatch,h + k + a + b = -3 + 2 + 12 + 5 = 16,16
prm-f5ad90a250e816d4|run1|control,control,1,0,mismatch,1,6
prm-f5ad90a250e816d4|run2|control,control,1,0,mismatch,1,6
prm-fe7cc1b1ef70d69f|run1|deleted,target_delete,1,0,mismatch,$a + b = -3 + 2 = -1$,-1
prm-fe7cc1b1ef70d69f|run4|deleted,target_delete,1,0,mismatch,$a + b = -3 + 2 = -1$,-1
prm-bf052d7ceb54371a|run4|deleted,target_delete,1,0,mismatch,106^ c,106^\circ
prm-bf052d7ceb54371a|placebo1|step2,placebo_delete,1,0,mismatch,106^\ extcirc,106^\circ
prm-bf052d7ceb54371a|placebo4|step16,placebo_delete,1,0,mismatch,106^ olimits,106^\circ
prm-85d7c7d738bdc28f|placebo2|step4,placebo_delete,1,0,mismatch,The number of different assortments of six cookies that can be selected is 28.,28
prm-9f8de872e85deb1c|run1|control,control,1,0,mismatch,"(0, 9) \\cup (9, 36)","(0,9) \cup (9,36)"
prm-9f8de872e85deb1c|run1|deleted,target_delete,1,0,mismatch,"(0, 9) ∪ (9, 36)","(0,9) \cup (9,36)"
prm-9f8de872e85deb1c|run2|control,control,1,0,mismatch,"(0, 9) \\cup (9, 36)","(0,9) \cup (9,36)"
prm-9f8de872e85deb1c|run2|deleted,target_delete,1,0,mismatch,"(0, 9) ∪ (9, 36)","(0,9) \cup (9,36)"
prm-9f8de872e85deb1c|run3|control,control,1,0,mismatch,"(0, 9) \\cup (9, 36)","(0,9) \cup (9,36)"
prm-9f8de872e85deb1c|run3|deleted,target_delete,1,0,mismatch,"(0, 9) ∪ (9, 36)","(0,9) \cup (9,36)"
prm-9f8de872e85deb1c|run4|control,control,1,0,mismatch,"(0, 9) \\cup (9, 36)","(0,9) \cup (9,36)"
prm-9f8de872e85deb1c|run4|deleted,target_delete,1,0,mismatch,"(0, 9) ∪ (9, 36)","(0,9) \cup (9,36)"
prm-9f8de872e85deb1c|placebo1|step0,placebo_delete,1,0,mismatch,"$(0, 9) igcup (9, 36)$","(0,9) \cup (9,36)"
prm-9f8de872e85deb1c|placebo2|step7,placebo_delete,1,0,mismatch,"$0 < x < 36$, $x eq 9$","(0,9) \cup (9,36)"
prm-9f8de872e85deb1c|placebo4|step5,placebo_delete,1,0,mismatch,"$(0, 9) ext{ union } (9, 36)$","(0,9) \cup (9,36)"
prm-b59d428fdeb2db81|run1|control,control,1,0,mismatch,east,\text{east}
prm-b59d428fdeb2db81|run1|deleted,target_delete,1,0,mismatch,east,\text{east}
prm-b59d428fdeb2db81|run2|control,control,1,0,mismatch,east,\text{east}
prm-b59d428fdeb2db81|run2|deleted,target_delete,1,0,mismatch,east,\text{east}
prm-b59d428fdeb2db81|run3|control,control,1,0,mismatch,east,\text{east}
prm-b59d428fdeb2db81|run4|control,control,1,0,mismatch,east,\text{east}
prm-b59d428fdeb2db81|run4|deleted,target_delete,1,0,mismatch,east,\text{east}
prm-b59d428fdeb2db81|placebo1|step3,placebo_delete,1,0,mismatch,east,\text{east}
prm-b59d428fdeb2db81|placebo2|step5,placebo_delete,1,0,mismatch,east,\text{east}
prm-b59d428fdeb2db81|placebo3|step2,placebo_delete,1,0,mismatch,east,\text{east}
prm-b59d428fdeb2db81|placebo4|step6,placebo_delete,1,0,mismatch,east,\text{east}
prm-2e47da03eaad232d|run1|control,control,0,1,string_match,\boxed{\frac{33}{100}},\dfrac{33}{100}
prm-e2765e9155dae75b|run1|deleted,target_delete,1,0,mismatch,5\star1 = 9(5) + 2(1) - (5)(1) + 5 = 45 + 2 - 5 + 5 = 47,47
prm-e2765e9155dae75b|run3|deleted,target_delete,1,0,mismatch,5\star1 = 9(5) + 2(1) - (5)(1) + 5 = 45 + 2 - 5 + 5 = 47,47
prm-24a570f07e4ce807|run2|deleted,target_delete,1,0,mismatch,$3 ext{sqrt}(13)$,3\sqrt{13}
prm-b1b1d1fed6ca6e88|placebo4|step1,placebo_delete,1,0,mismatch,\sqrt{650},2\sqrt{113}
prm-67c15cd755da8374|run2|control,control,1,0,mismatch,"The domain of the function is $(-\infty, 2) \cup (3, \infty)$","(-\infty, 2) \cup (3, \infty)"
prm-b4ce181080c6935d|run1|deleted,target_delete,0,1,string_match,\boxed{\frac{1}{3}},\frac{1}{3}
prm-b4ce181080c6935d|run2|control,control,0,1,string_match,\boxed{\frac{1}{3}},\frac{1}{3}
prm-b4ce181080c6935d|run2|deleted,target_delete,0,1,string_match,\boxed{\frac{1}{3}},\frac{1}{3}
prm-e5218a9b5d49ef04|run1|deleted,target_delete,1,0,mismatch,$x = 2$,2
prm-e5218a9b5d49ef04|run3|deleted,target_delete,1,0,mismatch,$x = 2$,2
prm-e5218a9b5d49ef04|run4|deleted,target_delete,1,0,mismatch,$x = 2$,2
prm-4a41ea6ca0473740|run1|deleted,target_delete,1,0,mismatch,1,6
prm-4a41ea6ca0473740|placebo2|step2,placebo_delete,1,0,mismatch,The largest $ x $-value at which the graphs intersect is $ oxed{6} $,6
prm-6a5663499dcdfb6e|run1|control,control,0,1,string_match,\frac{17}{50},\dfrac{17}{50}
prm-6a5663499dcdfb6e|run1|deleted,target_delete,1,0,mismatch,\frac{34}{100} = \frac{17}{50},\dfrac{17}{50}
prm-6a5663499dcdfb6e|run2|deleted,target_delete,1,0,mismatch,\frac{34}{100} = \frac{17}{50},\dfrac{17}{50}
prm-6a5663499dcdfb6e|run3|deleted,target_delete,1,0,mismatch,\frac{34}{100} = \frac{17}{50},\dfrac{17}{50}
prm-6a5663499dcdfb6e|run4|deleted,target_delete,1,0,mismatch,\frac{34}{100} = \frac{17}{50},\dfrac{17}{50}
prm-81dd96c2af2f5b96|run1|deleted,target_delete,1,0,mismatch,\begin{pmatrix} \frac{1}{5} \\ -\frac{18}{5} \end{pmatrix},\begin{pmatrix} 1/5 \\ -18/5 \end{pmatrix}
prm-569d7cf9abe65f34|run1|deleted,target_delete,1,0,mismatch,5,x=5
prm-569d7cf9abe65f34|run2|deleted,target_delete,1,0,mismatch,5,x=5
prm-569d7cf9abe65f34|run3|deleted,target_delete,1,0,mismatch,5,x=5
prm-569d7cf9abe65f34|run4|deleted,target_delete,1,0,mismatch,5,x=5
prm-569d7cf9abe65f34|placebo1|step5,placebo_delete,1,0,mismatch,5,x=5
prm-738ac1e91010e501|run1|deleted,target_delete,1,0,mismatch,x = 6,6
prm-738ac1e91010e501|run4|deleted,target_delete,1,0,mismatch,x = 6,6
prm-c5d0b2ae9f6de94a|run2|control,control,1,0,mismatch,Chris is currently 10 years old.,10
prm-6fb0c8f8ee2ebabd|run4|control,control,0,1,string_match,11,11
prm-3d9ad8daca3b8faa|run2|control,control,1,0,mismatch,$A + B + C + D = 2 + 2 + 3 + 6 = 13$,13
prm-c7fdd3c01ea7968c|run3|control,control,0,1,string_match,10\%,10
prm-c7fdd3c01ea7968c|run4|control,control,0,1,string_match,10\%,10
prm-c7fdd3c01ea7968c|placebo4|step3,placebo_delete,0,1,string_match,10%,10
prm-b30d7b8afa669a70|run1|deleted,target_delete,1,0,mismatch,"$(2, 12) igcup (12, 102)$","(2,12) \cup (12,102)"
prm-b30d7b8afa669a70|run2|deleted,target_delete,1,0,mismatch,"$(2, 12) igcup (12, 102)$","(2,12) \cup (12,102)"
prm-b30d7b8afa669a70|run3|deleted,target_delete,1,0,mismatch,"(2, 12) igcup (12, 102)","(2,12) \cup (12,102)"
prm-b30d7b8afa669a70|run4|deleted,target_delete,1,0,mismatch,"$(2, 12) igcup (12, 102)$","(2,12) \cup (12,102)"
prm-b30d7b8afa669a70|placebo3|step3,placebo_delete,1,0,mismatch,"(2, 12) \\cup (12, 102)","(2,12) \cup (12,102)"
prm-caf345262620d432|placebo2|step4,placebo_delete,1,0,mismatch,$\frac{550}{4}$ simplifies to $137\frac{1}{2}$ miles.,137 \frac{1}{2}
prm-7cf98f01d85acf4d|run1|control,control,1,0,mismatch,ellipse,\text{ellipse}
prm-7cf98f01d85acf4d|run1|deleted,target_delete,1,0,mismatch,ellipse,\text{ellipse}
prm-7cf98f01d85acf4d|run2|deleted,target_delete,1,0,mismatch,ellipse,\text{ellipse}
prm-7cf98f01d85acf4d|run3|control,control,1,0,mismatch,ellipse,\text{ellipse}
prm-7cf98f01d85acf4d|run3|deleted,target_delete,1,0,mismatch,ellipse,\text{ellipse}
prm-7cf98f01d85acf4d|run4|deleted,target_delete,1,0,mismatch,ellipse,\text{ellipse}
prm-7cf98f01d85acf4d|placebo1|step15,placebo_delete,1,0,mismatch,ellipse,\text{ellipse}
prm-7cf98f01d85acf4d|placebo2|step5,placebo_delete,1,0,mismatch,ellipse,\text{ellipse}
prm-7cf98f01d85acf4d|placebo3|step7,placebo_delete,1,0,mismatch,ellipse,\text{ellipse}
prm-7cf98f01d85acf4d|placebo4|step3,placebo_delete,1,0,mismatch,ellipse,\text{ellipse}
prm-d139e98806701b02|run1|control,control,1,0,mismatch,\frac{5}{9},\frac 59
prm-d139e98806701b02|run1|deleted,target_delete,1,0,mismatch,\frac{5}{9},\frac 59
prm-d139e98806701b02|run2|control,control,1,0,mismatch,\frac{5}{9},\frac 59
prm-d139e98806701b02|run2|deleted,target_delete,1,0,mismatch,\frac{5}{9},\frac 59
prm-d139e98806701b02|run3|control,control,1,0,mismatch,\frac{5}{9},\frac 59
prm-d139e98806701b02|run3|deleted,target_delete,1,0,mismatch,\frac{5}{9},\frac 59
prm-d139e98806701b02|run4|control,control,1,0,mismatch,\frac{5}{9},\frac 59
prm-d139e98806701b02|run4|deleted,target_delete,1,0,mismatch,\frac{5}{9},\frac 59
prm-d139e98806701b02|placebo1|step0,placebo_delete,1,0,mismatch,\frac{5}{9},\frac 59
prm-02dc733a400c8a44|run1|deleted,target_delete,1,0,mismatch,$\frac{2 - \frac{1}{5}}{\frac{1}{5}} = \frac{\frac{10 - 1}{5}}{\frac{1}{5}} = \f,9
prm-02dc733a400c8a44|run4|deleted,target_delete,1,0,mismatch,$\frac{2 - \frac{1}{5}}{\frac{1}{5}} = \frac{\frac{10 - 1}{5}}{\frac{1}{5}} = \f,9
prm-d9a76b21965836c2|run1|control,control,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-d9a76b21965836c2|run2|control,control,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-d9a76b21965836c2|run3|control,control,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-d9a76b21965836c2|run4|control,control,1,0,mismatch,\begin{pmatrix} \frac{16}{49} \\ \frac{48}{49} \\ \frac{24}{49} \end{pmatrix},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix}
prm-47679397406393e0|run1|deleted,target_delete,1,0,mismatch,$4210_5$,4210_{5}
prm-47679397406393e0|run2|control,control,1,0,mismatch,$4210_5$,4210_{5}
prm-47679397406393e0|run2|deleted,target_delete,1,0,mismatch,$4210_5$,4210_{5}
prm-47679397406393e0|run3|control,control,1,0,mismatch,$555_{10} = 4210_5$,4210_{5}
prm-47679397406393e0|run3|deleted,target_delete,1,0,mismatch,$4210_5$,4210_{5}
prm-47679397406393e0|run4|control,control,1,0,mismatch,$555_{10} = 4210_5$,4210_{5}
prm-47679397406393e0|run4|deleted,target_delete,1,0,mismatch,$4210_5$,4210_{5}
prm-47679397406393e0|placebo1|step11,placebo_delete,1,0,mismatch,4210_5,4210_{5}
prm-47679397406393e0|placebo2|step5,placebo_delete,1,0,mismatch,$4210_5$,4210_{5}
prm-47679397406393e0|placebo3|step7,placebo_delete,1,0,mismatch,4210_5,4210_{5}
prm-47679397406393e0|placebo4|step9,placebo_delete,1,0,mismatch,4210_5,4210_{5}
prm-14fb1048eb99d376|run2|control,control,1,0,mismatch,"6, -4, -24",6r^2-4r-24
prm-14fb1048eb99d376|run3|control,control,1,0,mismatch,"6, -4, -24",6r^2-4r-24
prm-14fb1048eb99d376|run4|control,control,1,0,mismatch,"6, -4, -24",6r^2-4r-24
prm-66bc41cfa62d57e2|run4|control,control,1,0,mismatch,864,864 \mbox{ inches}^2
prm-66bc41cfa62d57e2|placebo1|step4,placebo_delete,1,0,mismatch,864,864 \mbox{ inches}^2
prm-2dfd8218ce19b305|placebo2|step14,placebo_delete,1,0,mismatch,"The domain of the function is $(-\infty, 2) \cup (3, \infty)$","(-\infty, 2) \cup (3, \infty)"
prm-2dfd8218ce19b305|placebo3|step8,placebo_delete,1,0,mismatch,"The domain of the function is $(- ext{infty}, 2) ext{ union } (3, ext{infty})$","(-\infty, 2) \cup (3, \infty)"
prm-77a86cb6e4dfd1aa|run1|control,control,1,0,mismatch,26 × 25 × 10 × 9 = 58500,"58,500"
prm-77a86cb6e4dfd1aa|run2|control,control,1,0,mismatch,26 × 25 × 10 × 9 = 58500,"58,500"
prm-77a86cb6e4dfd1aa|run2|deleted,target_delete,1,0,mismatch,26 × 25 × 10 × 9 = 58500,"58,500"
prm-77a86cb6e4dfd1aa|run3|control,control,1,0,mismatch,26 × 25 × 10 × 9 = 58500,"58,500"
prm-77a86cb6e4dfd1aa|run3|deleted,target_delete,1,0,mismatch,26 × 25 × 10 × 9 = 58500,"58,500"
prm-77a86cb6e4dfd1aa|run4|control,control,1,0,mismatch,26 × 25 × 10 × 9 = 58500,"58,500"
prm-77a86cb6e4dfd1aa|run4|deleted,target_delete,1,0,mismatch,26 × 25 × 10 × 9 = 58500,"58,500"
prm-f77af5e177e450d9|run1|control,control,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-f77af5e177e450d9|run1|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-f77af5e177e450d9|run2|control,control,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-f77af5e177e450d9|run2|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-f77af5e177e450d9|run3|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-f77af5e177e450d9|run4|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-f77af5e177e450d9|placebo2|step5,placebo_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-e5b42c42ddfdfe89|run1|control,control,1,0,mismatch,"$ f(2015,2) = 1 $",1
prm-e5b42c42ddfdfe89|run2|deleted,target_delete,1,0,mismatch,"$ f(2015, 2) = 1 $",1
prm-e5b42c42ddfdfe89|run3|deleted,target_delete,1,0,mismatch,"$ f(2015, 2) = 1 $",1
prm-24a4a38cf78a16b4|run2|deleted,target_delete,0,1,string_match,\boxed{-\dfrac{35}{9}},-\frac{35}{9}
prm-fa87724dc0063e72|placebo1|step8,placebo_delete,1,0,mismatch,$x = 6$,6
prm-f418b9680e5a9dc1|placebo3|step6,placebo_delete,1,0,mismatch,\sqrt{53} is already in simplest radical form and cannot be simplified further.,\sqrt{53}
prm-23e4bf45fefddfca|run4|control,control,1,0,mismatch,125,1250
prm-d53813f5acf46dc2|run1|control,control,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-d53813f5acf46dc2|run1|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-d53813f5acf46dc2|run2|control,control,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-d53813f5acf46dc2|run2|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-d53813f5acf46dc2|run3|control,control,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-d53813f5acf46dc2|run3|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-d53813f5acf46dc2|run4|control,control,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-d53813f5acf46dc2|run4|deleted,target_delete,1,0,mismatch,"[-2, 7]","x \in [-2,7]"
prm-27543090e207be07|placebo1|step0,placebo_delete,1,0,mismatch,The binary number $10101001110_2$ is equal to $2516_8$.,2516_8
prm-9b09489564767b9d|run1|deleted,target_delete,1,0,mismatch,$\boxed{\frac{\sqrt{2(34^2) + 2(34^2) - 32^2}}{2} = \frac{\sqrt{2(1156) + 2(1156,30
prm-b3c55327f85d52bf|run1|deleted,target_delete,1,0,mismatch,"$(- ext{infty}, 2) ext{ union } (3, ext{infty})$","(-\infty, 2) \cup (3, \infty)"
prm-b3c55327f85d52bf|run3|deleted,target_delete,1,0,mismatch,"$(- ext{infty}, 2) ext{ union } (3, ext{infty})$","(-\infty, 2) \cup (3, \infty)"
prm-b3c55327f85d52bf|placebo1|step15,placebo_delete,1,0,mismatch,"$(- ext{∞}, 2) ext{ union } (3, ext{∞})$","(-\infty, 2) \cup (3, \infty)"
prm-bd9c89c30ff0439e|placebo2|step4,placebo_delete,1,0,mismatch,"The domain of the function is $(-\infty, 2) \cup (3, \infty)$.","(-\infty, 2) \cup (3, \infty)"
prm-bbdc2cbce9d5d71d|run2|deleted,target_delete,0,1,string_match,\boxed{\frac{8}{21}},\frac{8}{21}
prm-bbdc2cbce9d5d71d|run3|control,control,0,1,string_match,\boxed{\frac{8}{21}},\frac{8}{21}
prm-24d79d07da1abeb8|run1|deleted,target_delete,1,0,mismatch,$c = 33$,33
prm-24d79d07da1abeb8|run2|deleted,target_delete,1,0,mismatch,$c = 33$,33
prm-24d79d07da1abeb8|run3|deleted,target_delete,1,0,mismatch,$c = 33$,33
prm-24d79d07da1abeb8|run4|deleted,target_delete,1,0,mismatch,$c = 33$,33
prm-4c8c15a6cba67d79|placebo1|step0,placebo_delete,1,0,mismatch,even,\text{even}
prm-242890b88c115e2c|run1|control,control,1,0,mismatch,\boxed{\textbf{(B)}},\text{(B)}
prm-242890b88c115e2c|run1|deleted,target_delete,1,0,mismatch,\boxed{\textbf{(B)}},\text{(B)}
prm-242890b88c115e2c|run2|control,control,1,0,mismatch,\boxed{\textbf{(B)}},\text{(B)}
prm-242890b88c115e2c|run3|control,control,1,0,mismatch,\boxed{\textbf{(B)}},\text{(B)}
prm-242890b88c115e2c|placebo1|step10,placebo_delete,1,0,mismatch,\boxed{\textbf{(B)}},\text{(B)}
prm-2c5e0537236b9a03|run4|deleted,target_delete,1,0,mismatch,32,256
prm-5be58b31f228d28e|placebo1|step8,placebo_delete,1,0,mismatch,49,63
